corpus,file_id,score,bytes,controls_fired
production,69babb0e95056408,16,62552,"citation.inline_marker|cost.budget_cap|cost.output_bound"
production,1fada6f980d15243,0,6184,""
production,d71ed94c6db198e6,0,2883,""
production,4c932386ccffef57,20,31947,"citation.require|human_gate.approval_required|human_gate.no_autonomous_action|safe_stop.stop_condition"
production,119c642e67bbcd65,4,14151,"safe_stop.stop_condition"
production,de337625b19136fe,8,52456,"citation.inline_marker|safe_stop.stop_condition"
production,83b19d801288eb47,0,20301,""
production,7417bca3d37b07e8,0,2147,""
production,ecd2d444d6f21107,9,12224,"hallucination.no_fabrication|human_gate.no_autonomous_action"
production,85fda779b74535b2,8,10209,"citation.require|compliance.stated_obligation"
production,3d1733f28d6b96d6,18,32081,"citation.require|hallucination.admit_uncertainty|hallucination.no_fabrication|safe_stop.stop_condition|safe_stop.uncertainty_trigger"
production,1b32360ccbbb2bd1,0,21945,""
production,46910b01411aed06,6,47083,"human_gate.no_autonomous_action"
production,7cc0813471b7ceb1,7,4848,"hallucination.no_fabrication|safe_stop.uncertainty_trigger"
production,8c87ebff15c9b8a9,17,23864,"citation.require|hallucination.no_fabrication|human_gate.approval_required|safe_stop.uncertainty_trigger"
production,8005584ab8a6adc2,20,18976,"human_gate.approval_required|human_gate.no_autonomous_action|injection.named_defense|safe_stop.stop_condition"
production,fb9f453dfcc6a12d,8,8253,"citation.require|safe_stop.stop_condition"
production,054175b842a215b9,12,43961,"human_gate.approval_required|human_gate.no_autonomous_action"
production,55e60479fdb25af2,0,6820,""
production,b1ae87a5b05f4df4,15,58779,"citation.inline_marker|hallucination.admit_uncertainty|injection.prompt_confidentiality|safe_stop.uncertainty_trigger"
production,ff92558926fb2ca6,8,9391,"citation.require|injection.prompt_confidentiality"
production,2c68673d3b06b848,0,12159,""
production,d2d0e0bc87c6200e,12,10153,"human_gate.approval_required|human_gate.no_autonomous_action"
production,a4d85f06ef828155,0,2440,""
production,5902d744d7e0c718,12,5493,"human_gate.approval_required|human_gate.no_autonomous_action"
production,ea7e508c38539d04,4,5890,"compliance.named_regime"
production,f4425951e84c0f22,0,1158,""
production,273b07686ee0c4da,0,1783,""
production,5a7ce16fd8b29ae6,10,12357,"cost.budget_cap|safe_stop.stop_condition"
production,9bdf2cffeb55bfb1,10,26165,"human_gate.no_autonomous_action|safe_stop.stop_condition"
production,43c1825f96ac1f4a,10,18620,"cost.budget_cap|safe_stop.stop_condition"
production,e97c4ff9ad1f6f8c,6,8110,"human_gate.no_autonomous_action"
production,e4b9366ae55cf5ef,18,34890,"citation.require|human_gate.no_autonomous_action|safe_stop.stop_condition|safe_stop.uncertainty_trigger"
production,f720ece5ecd76eff,16,18569,"citation.require|injection.prompt_confidentiality|safe_stop.stop_condition|safe_stop.uncertainty_trigger"
production,9a8e9805c7b7bd3e,4,8443,"citation.require"
production,6a2508f2b21b02cc,4,3842,"injection.prompt_confidentiality"
production,8b3fdfa1e7c9a247,6,21032,"human_gate.approval_required"
production,d7ccb5eff4fd7174,0,765,""
production,336b48533f73b33e,10,9910,"human_gate.approval_required|safe_stop.stop_condition"
production,0cb222ba644e2717,10,9909,"human_gate.approval_required|injection.override_resistance"
production,7a1db6acc03d6ce1,18,11082,"human_gate.approval_required|injection.override_resistance|safe_stop.stop_condition|safe_stop.uncertainty_trigger"
production,e9d3d28a19b2ec41,10,7876,"human_gate.approval_required|injection.override_resistance"
production,86f93a78005ee4df,21,25257,"hallucination.no_fabrication|human_gate.approval_required|injection.override_resistance|safe_stop.stop_condition|safe_stop.uncertainty_trigger"
production,95f16afc6e37894a,21,25579,"hallucination.no_fabrication|human_gate.approval_required|injection.override_resistance|safe_stop.stop_condition|safe_stop.uncertainty_trigger"
production,3e37b50241dfe895,4,8910,"safe_stop.uncertainty_trigger"
production,ae219ce9322e3a1e,4,14595,"citation.require"
production,2045c6364a1eb635,13,11699,"hallucination.no_fabrication|human_gate.approval_required|safe_stop.uncertainty_trigger"
production,25e1c2d6fddaa8e3,10,32843,"human_gate.no_autonomous_action|safe_stop.uncertainty_trigger"
production,b52edc389c8c28b6,0,374,""
production,a3ba580413f0e9b2,0,245,""
production,e1538255a30b5690,0,235,""
production,aac8c1ec849d36b0,0,414,""
production,a3790bd4f0226147,0,1938,""
production,7397e81abd29a723,0,4009,""
production,6743d81da90db5bd,10,9592,"citation.inline_marker|cost.output_bound"
production,fdea2bac5dae9f20,8,17194,"citation.require|safe_stop.stop_condition"
production,338ff0b27532a25b,4,46186,"safe_stop.stop_condition"
gpt_store,48d5291c828574ac,0,3404,""
gpt_store,2ff636cf1889ac96,0,1304,""
gpt_store,890d380bc332048e,0,1376,""
gpt_store,bf3250500d71b6b2,0,2375,""
gpt_store,9626c594d124938d,0,901,""
gpt_store,a3c4b0501aa14b48,0,3891,""
gpt_store,c9a43bae32b50d4f,4,4221,"citation.require"
gpt_store,927b6cd8ca3a4456,4,839,"citation.require"
gpt_store,af71e347eaf21969,0,5769,""
gpt_store,ec771125b4fcbc87,7,3432,"hallucination.admit_uncertainty|safe_stop.stop_condition"
gpt_store,84a913e44287ef40,0,3118,""
gpt_store,9d4c6f91c80691a7,0,1753,""
gpt_store,0c62b13b97040838,0,1289,""
gpt_store,0415ad6bb1fa3bc1,0,1656,""
gpt_store,ec81c8efd5cde1d0,0,3853,""
gpt_store,bd705533df30ac64,0,2542,""
gpt_store,6ebf8f22ffc0dfe1,0,1521,""
gpt_store,42d239ab618e850d,0,2084,""
gpt_store,777b9c2325f5ea13,3,4083,"hallucination.no_fabrication"
gpt_store,d7e99c711becd2fe,8,9878,"citation.link_source|citation.require"
gpt_store,c33c5563e76e2e24,0,4888,""
gpt_store,bc4245f556660248,0,1107,""
gpt_store,abc7d7b32d1e7d43,0,5949,""
gpt_store,63f6cb155540e9a9,4,3755,"citation.require"
gpt_store,d5842cd4f8d6796e,6,35191,"human_gate.no_autonomous_action"
gpt_store,7a93d7130733f589,0,1338,""
gpt_store,d9e51964d82627ef,0,1392,""
gpt_store,fa39f22301608ad5,4,3231,"citation.require"
gpt_store,00c1f31325cf72ef,0,1501,""
gpt_store,309e5f35ae5cc380,0,2229,""
gpt_store,297a092c44559fe1,0,5077,""
gpt_store,33571d74e0e39fb4,0,549,""
gpt_store,aed55e58b3bcc97f,0,1416,""
gpt_store,eebe7ced7153048f,4,7534,"injection.named_defense"
gpt_store,9c230fc051e1e63c,0,2579,""
gpt_store,dc74e17405738cc8,4,3261,"safe_stop.stop_condition"
gpt_store,2e75dd2dfa47f52e,4,11588,"citation.require"
gpt_store,dd4072ed5563abc8,0,7943,""
gpt_store,1a383df346d9303a,4,4747,"safe_stop.stop_condition"
gpt_store,2eae841ac9ce98da,4,1915,"citation.require"
gpt_store,7f0f10feb13d7fa6,0,940,""
gpt_store,a589eb7476b31b84,0,2328,""
gpt_store,105012a7f3564b64,0,2771,""
gpt_store,4ad2e676ff0c2408,4,4550,"safe_stop.stop_condition"
gpt_store,df06451cc1352beb,0,506,""
gpt_store,02b0a204df8a7bf1,4,6257,"safe_stop.stop_condition"
gpt_store,b9d1430dac8704c8,8,2714,"injection.named_defense|safe_stop.stop_condition"
gpt_store,22c88c27e3cc3ac6,0,2397,""
gpt_store,fbafacff71eb72a8,4,3027,"safe_stop.stop_condition"
gpt_store,ec5b9f12bc316a25,4,7790,"safe_stop.stop_condition"
gpt_store,d23d5593a2f6156b,0,1048,""
gpt_store,3fe5779c99f7318a,4,9061,"citation.require"
gpt_store,ed17fed004faf340,0,859,""
gpt_store,709d940ab95a687e,0,2478,""
gpt_store,b055fb0ca3dcc78e,4,526,"citation.require"
gpt_store,342cdfc3faa00514,6,5938,"human_gate.no_autonomous_action"
gpt_store,65709b3235731a8e,0,2595,""
gpt_store,0f294a9d267182eb,0,3337,""
gpt_store,ac57db893c607032,0,2256,""
gpt_store,fe07570b74e9f382,4,7963,"citation.require"
gpt_store,c92ffb05ba0b137f,0,2302,""
gpt_store,9f961c05b5c79696,0,943,""
gpt_store,538a2c2bde36b40c,0,4890,""
gpt_store,909e6c001beea16e,4,1498,"safe_stop.stop_condition"
gpt_store,27e0e98a5a06e99d,4,2996,"injection.prompt_confidentiality"
gpt_store,8e607d00fcf05b6d,0,1550,""
gpt_store,dd502454fb70a8ef,0,817,""
gpt_store,35cd953b06bee050,0,974,""
gpt_store,5e1816a74a29a9e7,0,1662,""
gpt_store,b9a6e1a4b4556de0,8,5173,"injection.override_resistance|injection.prompt_confidentiality"
gpt_store,25883479597d90e9,0,1846,""
gpt_store,1f17ebc3d1d75885,0,8126,""
gpt_store,7f8660f80f1d4381,0,3863,""
gpt_store,0e5f4077d642135d,0,4995,""
gpt_store,55fb71f0bc4cef45,0,1141,""
gpt_store,8d6e840d6f8dc3bc,0,833,""
gpt_store,ed894b29b4e81642,0,4677,""
gpt_store,e8d0dd9a5aae2b74,0,1348,""
gpt_store,f81bc965b47d0120,0,3035,""
gpt_store,fe20ebc60e781b5a,16,8724,"compliance.named_regime|injection.named_defense|injection.override_resistance|safe_stop.stop_condition"
gpt_store,04ef00e068d037cf,11,4161,"citation.require|hallucination.no_fabrication|injection.prompt_confidentiality"
gpt_store,6db31c277d624e0f,4,2398,"safe_stop.stop_condition"
gpt_store,ed2c7194fbf67bb7,4,5676,"citation.require"
gpt_store,fadd9b4965c503de,4,1637,"injection.prompt_confidentiality"
gpt_store,1baf49708130e577,8,5484,"injection.named_defense|safe_stop.stop_condition"
gpt_store,fce2718b200306ac,11,3965,"hallucination.no_fabrication|injection.named_defense|safe_stop.stop_condition"
gpt_store,c614d10dd908aa5e,0,2559,""
gpt_store,d0e57eff2af7f25f,4,7483,"citation.inline_marker"
gpt_store,aed9eed18222e160,0,2700,""
gpt_store,260b1e3d2079a9a2,0,1803,""
gpt_store,2666f1f41ee715cd,8,3991,"injection.named_defense|safe_stop.stop_condition"
gpt_store,4b4b260e09ef4059,7,8205,"hallucination.admit_uncertainty|injection.prompt_confidentiality"
gpt_store,ca02288df936ab9e,0,1498,""
gpt_store,ac06d9d4138594a8,0,8485,""
gpt_store,436536cb8a5dff51,0,842,""
gpt_store,315618936abe865a,4,2807,"safe_stop.stop_condition"
gpt_store,a48a565f8364695d,0,6408,""
gpt_store,41d5057e78f9f3c1,0,5138,""
gpt_store,81f5c921fe1d4769,8,4515,"injection.named_defense|safe_stop.stop_condition"
gpt_store,f18e2d803aec29ff,0,1239,""
gpt_store,5ea8294efbbade71,0,2318,""
gpt_store,4aadb1e63acbf347,0,2599,""
gpt_store,ed0a93f48b3f2afb,0,924,""
gpt_store,a1cb07003ead45bc,4,4841,"safe_stop.stop_condition"
gpt_store,36980846c87496e0,4,2001,"safe_stop.stop_condition"
gpt_store,b0a9f9eea6de5c32,4,4371,"citation.require"
gpt_store,f632b81d8f775cb9,0,1052,""
gpt_store,9e80f13bc2ff344f,8,4247,"injection.named_defense|safe_stop.stop_condition"
gpt_store,1aaa7cd22bdcd3c7,0,1356,""
gpt_store,95e15b2f55936b26,0,3842,""
gpt_store,1ead60e8143f78f5,0,1095,""
gpt_store,ed725bae1b12c600,0,4815,""
gpt_store,3391423b42b509b4,0,8724,""
gpt_store,d2536eb6584a7d5b,0,620,""
gpt_store,7a9e97c6395ee3a5,0,856,""
gpt_store,a54677d40e4cc91f,4,3888,"citation.inline_marker"
gpt_store,7e392ec25266cc90,12,5003,"citation.require|safe_stop.escalate|safe_stop.stop_condition"
gpt_store,a2618645c01a9926,7,2617,"hallucination.defer_to_expert|safe_stop.stop_condition"
gpt_store,d3e148c95df3cb98,0,3486,""
gpt_store,cc5e26fe9458a429,0,869,""
gpt_store,50c0715967f41ebf,0,1007,""
gpt_store,1dbe6a34fb943e59,0,1786,""
gpt_store,033bd2471e847626,0,5508,""
gpt_store,675a828561b49f27,0,5388,""
gpt_store,78fcfe14537f37dd,0,1461,""
gpt_store,1a02bd8d5e2fb3b5,0,6948,""
gpt_store,cd5936a9f51bb068,8,5033,"citation.require|safe_stop.stop_condition"
gpt_store,d7458ea5f22184da,0,682,""
gpt_store,65a5ae94119d8b1d,0,6527,""
gpt_store,24af8eb99bc792b9,0,5231,""
gpt_store,6cd32448e08de8a8,0,1689,""
gpt_store,b99db830d47ac932,8,3949,"injection.named_defense|safe_stop.stop_condition"
gpt_store,dd0959fae819bc46,4,2455,"safe_stop.stop_condition"
gpt_store,5b2c60e91b622750,0,1447,""
gpt_store,b15c34324fb830ac,0,1136,""
gpt_store,3cfc44163aaca5a4,0,1499,""
gpt_store,fd747ffa7911c5ac,0,794,""
gpt_store,02d45c0c60c26e8a,0,2232,""
gpt_store,f575dd3ba07c6f47,4,1970,"safe_stop.stop_condition"
gpt_store,70e63f6c7dd88dbb,0,4723,""
gpt_store,50123d627e6e2578,0,1661,""
gpt_store,2da501dd77ae9c05,8,9822,"injection.named_defense|safe_stop.stop_condition"
gpt_store,32ca5bf5826c93c8,0,1905,""
gpt_store,f6db6aded9033b9d,0,1256,""
gpt_store,fd343347c7adc44e,0,3031,""
gpt_store,94c4ac52f3fb897d,0,3030,""
gpt_store,5880a8a7b88e660f,0,3123,""
gpt_store,4a22f574df3c6386,0,6310,""
gpt_store,818a6262e04b1f13,0,514,""
gpt_store,83b4214dcc1ed629,8,2056,"injection.named_defense|safe_stop.stop_condition"
gpt_store,7b9ceb92f257c1f0,0,3370,""
gpt_store,076794f9f1902bda,0,1878,""
gpt_store,28dafe0b33fe7d11,0,1573,""
gpt_store,2ca3101e7fe100b7,3,9779,"hallucination.defer_to_expert"
gpt_store,8e445862467d2402,4,2201,"citation.require"
gpt_store,2d26e073ce8cdf05,0,6880,""
gpt_store,a180123a62b40d89,0,2156,""
gpt_store,82434ccaced79e4e,0,4863,""
gpt_store,73e4a36d6deb56b8,0,1420,""
gpt_store,1438345dca4fdff0,4,3231,"citation.require"
gpt_store,b0f9e38c4cf867e8,0,2180,""
gpt_store,b15749cce5749c05,0,2851,""
gpt_store,c6461917029b36b5,0,5809,""
gpt_store,2f55601c8551548e,0,1104,""
gpt_store,48d3b0e0636c5ee8,0,847,""
gpt_store,b15cf61553274f5f,0,814,""
gpt_store,f3c23076a28a8b9f,8,8713,"injection.named_defense|safe_stop.stop_condition"
gpt_store,3682ba1e14963359,4,2037,"injection.named_defense"
gpt_store,e32efb452412665f,0,1210,""
gpt_store,6e5497bf290e31a5,0,1166,""
gpt_store,2b059fadcc2dc428,0,1425,""
gpt_store,a09bad4410901afb,0,1917,""
gpt_store,fb0e77c9795fccda,0,1136,""
gpt_store,648050917a931226,0,820,""
gpt_store,bf309b6b4cc3428c,0,6749,""
gpt_store,4731ce33feeb0866,4,2215,"safe_stop.stop_condition"
gpt_store,b20ab4733d47674e,0,834,""
gpt_store,088532f09e1f9f84,4,5594,"injection.prompt_confidentiality"
gpt_store,84de4f1c588fa8de,12,9033,"citation.require|injection.named_defense|safe_stop.stop_condition"
gpt_store,e1e7f25a8563708a,0,3119,""
gpt_store,3d1edd4ae6668b7d,0,2069,""
gpt_store,fcf81e46f6ad99c0,0,4885,""
gpt_store,f024acf4d6bf5c03,0,1085,""
gpt_store,00660ec8321103d4,0,2253,""
gpt_store,6789858f3a163000,0,3693,""
gpt_store,89f8f5a9b8719635,0,666,""
gpt_store,7e79f1a603f9878a,4,5072,"citation.require"
gpt_store,b60fabb65c626cc8,4,9511,"injection.prompt_confidentiality"
gpt_store,c25ab70a4f29b542,0,775,""
gpt_store,651b079c3cd5a846,0,2324,""
gpt_store,81690608737dca99,0,2899,""
gpt_store,b16c2f153c5a50ea,0,3857,""
gpt_store,0efa4fc3b3b085b6,0,4896,""
gpt_store,6c886bc0d044c79f,0,1786,""
gpt_store,51b6fb9311b575b5,0,2039,""
gpt_store,920a19d1ae396620,0,1591,""
gpt_store,97378d3979e7d7bc,0,3214,""
gpt_store,8a3f95ab9c85c02a,0,1091,""
gpt_store,a79c55c7a9c7f6ae,0,2841,""
gpt_store,26a4f007ed255f6a,0,532,""
gpt_store,ade7ca2b63b5dc19,0,1187,""
gpt_store,275e5f6660e3f491,0,2907,""
gpt_store,bf9a40c7f3f3335e,0,3603,""
gpt_store,d802fed457c667ca,0,2072,""
gpt_store,7e650378428daf90,0,2048,""
gpt_store,afe4ffce588a2686,8,2368,"injection.named_defense|safe_stop.stop_condition"
gpt_store,312176a7a1d24a2c,0,1666,""
gpt_store,01ba2dcc9bbe0e0c,4,3218,"safe_stop.stop_condition"
gpt_store,c09ef80120a0eb7a,3,6057,"hallucination.no_fabrication"
gpt_store,637eafecfa7593f7,0,2657,""
gpt_store,b82da21399fc068a,0,2642,""
gpt_store,56a94e321f046ca7,8,13966,"injection.override_resistance|injection.prompt_confidentiality"
gpt_store,3b55d3d0ce626aca,0,2032,""
gpt_store,afc2092fbe95afe4,4,3115,"safe_stop.stop_condition"
gpt_store,4e46e82affe5c8ce,0,1318,""
gpt_store,d033869c05d994af,0,2208,""
gpt_store,22b9cb81f81ad231,0,2033,""
gpt_store,435bc379f14bec36,0,3696,""
gpt_store,afdab6dd3c38305d,0,1001,""
gpt_store,464263d0e8e1311f,8,7253,"injection.prompt_confidentiality|safe_stop.stop_condition"
gpt_store,88b76b2d4a250e3b,0,3852,""
gpt_store,b5316d077e9bf648,0,1382,""
gpt_store,95ac443ff9cd8441,0,2090,""
gpt_store,417f38f607ad85cb,0,1132,""
gpt_store,d5e4e218d4d28a5c,0,1412,""
gpt_store,51f1534000c82f76,0,4124,""
gpt_store,aedf62ac4b8c71a4,0,4053,""
gpt_store,844c43a39a5c4ba1,0,612,""
gpt_store,2313a97312085e4b,0,1013,""
gpt_store,045f053d0e480481,0,1350,""
gpt_store,adcfaa7aa331ccd3,0,785,""
gpt_store,c941ca3e4390092f,0,4914,""
gpt_store,5f3773ed03892017,0,1213,""
gpt_store,34554362caab1efd,4,7300,"safe_stop.stop_condition"
gpt_store,ec993985695b117c,8,5014,"injection.named_defense|safe_stop.stop_condition"
gpt_store,66231407868d087f,0,1184,""
gpt_store,a2d70435afb2eab2,0,7476,""
gpt_store,3fed2f194159825b,0,17197,""
gpt_store,6f67f9c2886b53f8,0,1222,""
gpt_store,dce1f852c5fc0b58,0,7124,""
gpt_store,82de12e520565728,0,1766,""
gpt_store,26a09f2731ca509c,4,2115,"safe_stop.stop_condition"
gpt_store,7715ace44f0d4d52,0,1452,""
gpt_store,6a913eed31cb2e38,4,3022,"safe_stop.stop_condition"
gpt_store,046384a035b2b8fc,0,4971,""
gpt_store,5d87ec4b81e02d4a,0,1773,""
gpt_store,70153a50290d725a,0,4131,""
gpt_store,db59e4f66a6e3de1,4,1271,"safe_stop.stop_condition"
gpt_store,56ead7e477b36547,0,7353,""
gpt_store,1f15f6dcc622aa33,8,7682,"injection.named_defense|safe_stop.stop_condition"
gpt_store,d520e531f846aa5b,4,3146,"injection.prompt_confidentiality"
gpt_store,a967630f6e32aea5,0,3652,""
gpt_store,edd615c70ea8939c,0,2487,""
gpt_store,512e5e658977a10c,0,1238,""
gpt_store,335c0670f063e21c,4,2931,"citation.inline_marker"
gpt_store,fe64003ca486bea5,0,1129,""
gpt_store,a56637387c43e268,0,1237,""
gpt_store,6837f5a06d09525d,4,2506,"citation.inline_marker"
gpt_store,25f876b30a32c789,0,4984,""
gpt_store,cf932271b2db4b89,0,5000,""
gpt_store,b56864993e6dd998,0,1560,""
gpt_store,bae6592e2fadc94c,0,1254,""
gpt_store,3f6c1db76ce28ba3,4,3106,"safe_stop.stop_condition"
gpt_store,3bac3be0a4bab617,0,926,""
gpt_store,4503ba2460397838,4,4304,"safe_stop.stop_condition"
gpt_store,2fe6aec816abb221,0,3579,""
gpt_store,6ccc0ba8c8b8b4aa,0,2484,""
gpt_store,2fab3797e964a496,4,3562,"safe_stop.stop_condition"
gpt_store,7643edfacffd0d23,4,4543,"safe_stop.stop_condition"
gpt_store,be3eb341c08bfe67,0,2915,""
gpt_store,ba9b838281e061b5,0,1270,""
gpt_store,dbd28cad64cf2c12,0,8512,""
gpt_store,0c76a987a09ce986,4,1308,"safe_stop.stop_condition"
